"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.002900001E-2,-3.160098463E-2,-6.643664896E-2,-8.599339262E-1
3.007479152E-2,-1.198951835E-1,-1.465896964E-1,-5.927594402E-1
4.012179188E-2,-8.488512598E-2,-2.438505274E-1,-2.357433629E-1
5.016779155E-2,-2.081763723E-1,-2.431897920E-1,2.229338676E-1
6.021479191E-2,-3.523691489E-1,-9.766721249E-2,5.776101816E-1
7.026179181E-2,-4.194949653E-1,1.127138525E-1,8.905788910E-1
8.030879172E-2,-6.652921770E-1,3.644815099E-1,1.078550502E0
9.035479184E-2,-9.536371650E-1,6.326359892E-1,1.798894726E0
1.004017917E-1,-1.007701837E0,1.053412737E0,2.082610108E0
1.104487916E-1,-7.354226582E-1,1.073728303E0,1.657793519E0
1.204957915E-1,-2.711588518E-1,4.930606127E-1,1.471260615E0
1.305417917E-1,-5.108552979E-1,2.870421553E-1,6.916782492E-1
1.405887916E-1,-6.730618840E-1,2.660143983E-1,-1.926648787E-1
1.506357919E-1,-4.673813957E-1,2.312129402E-1,-6.606184244E-1
1.606827918E-1,-3.929415165E-1,3.577969730E-2,-1.147587700E0
1.707287915E-1,-3.028503951E-1,-2.801962352E-1,-1.257347247E0
1.807757919E-1,-3.607582223E-1,-6.894381809E-1,-9.106968212E-1
1.908227918E-1,-1.816805186E-1,-1.043210515E0,-2.850809991E-2
2.008697917E-1,9.477064803E-2,-1.005707059E0,1.003559377E0
2.109157918E-1,1.305069298E-1,-6.019538945E-1,1.742243392E0
2.209627917E-1,1.259240283E-1,-3.803333116E-1,2.290818055E0
2.310097916E-1,2.065976241E-1,-8.264045298E-2,2.575433031E0
2.410567915E-1,4.337982780E-1,-5.997313678E-2,2.265606031E0
2.511027916E-1,5.809574202E-2,-6.241902709E-2,1.216850601E0
2.611497915E-1,-5.880097470E-1,3.232136160E-1,-3.117986816E-1
2.711967919E-1,-9.310396499E-1,6.998128957E-1,-1.443407403E0
2.812437918E-1,-1.165699524E0,9.077726287E-1,-2.111876884E0
2.912897919E-1,-1.235011468E0,1.118492247E0,-2.208270573E0
3.013367918E-1,-1.124776981E0,1.298179523E0,-1.790394629E0
3.113837917E-1,-9.026988535E-1,9.985114753E-1,-9.463841325E-1
3.214307916E-1,-5.080696478E-1,3.419440019E-1,2.408029586E-1
3.314767918E-1,-1.377809757E-1,-6.434860826E-3,1.373468564E0
3.415237917E-1,1.556751366E-1,4.030076444E-2,1.760695451E0
3.515707916E-1,2.859615167E-1,3.136072254E-1,1.211020342E0
3.616177919E-1,2.908329052E-1,5.557813561E-1,1.849977171E-1
3.716637916E-1,2.447182542E-1,3.363979179E-1,-7.885230508E-1
3.817107920E-1,-1.244539652E-1,-1.776781726E-1,-1.369510584E0
3.917577919E-1,-4.435996733E-1,-5.425748348E-1,-1.370368663E0
4.018047918E-1,-2.752481020E-1,-2.854616529E-1,-9.198868901E-1
4.118507919E-1,2.682549052E-1,1.866583264E-1,-3.562591553E-1
4.218977918E-1,4.108674717E-1,1.377756035E-1,2.685263622E-1
4.319447917E-1,5.934298966E-1,-1.244158852E-1,3.000668281E-1
4.419917916E-1,4.494785370E-1,-4.059061092E-1,6.093453598E-1
4.520377917E-1,-6.051484477E-2,-6.079244864E-1,1.049131406E0
4.620847916E-1,-5.453026706E-1,-6.871279460E-1,1.269438120E0
4.721317915E-1,-7.693911074E-1,-5.966019380E-1,1.202672857E0
4.821787919E-1,-4.241369602E-1,-5.824820817E-2,6.235453230E-1
4.922247916E-1,1.643888401E-1,7.142075711E-1,2.604583740E-2
5.022717919E-1,4.074281760E-1,1.180072784E0,3.680693614E-1
5.123187918E-1,3.253069923E-1,1.267286929E0,9.558735788E-1
5.223657917E-1,1.575901728E-1,1.287166293E0,1.540577602E-1
5.324117918E-1,2.676097746E-1,8.545167732E-1,-2.389300954E-1
5.424587918E-1,5.720652670E-2,5.933666736E-1,-1.707006902E-2
5.525057917E-1,1.196676903E-1,3.836007357E-1,-5.073658258E-2
5.625527916E-1,-3.373273328E-2,6.484269798E-2,-2.453629097E-1
5.725987917E-1,-3.719725606E-1,-1.345245516E-1,-5.278953999E-1
5.826457916E-1,-6.468490355E-1,-2.554233366E-1,-5.295174176E-1
5.926927919E-1,-7.436465478E-1,-3.992695194E-1,-5.029611182E-1
