"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.207101345E-2,6.505935977E1,2.547442259E1,1.807518387E1,NaN,NaN,1.006853805E1,1.720116043E1
2.512502670E-2,6.505935977E1,2.547442259E1,1.794954300E1,NaN,NaN,1.006853805E1,1.545126629E1
2.512502670E-2,6.505935977E1,2.547442259E1,1.787658310E1,NaN,NaN,1.006853805E1,1.373639393E1
4.987760901E0,6.505930818E1,2.547430875E1,1.808323620E1,2.189566344E-1,NaN,2.818981172E1,3.060578184E1
5.987752914E0,6.505926707E1,2.547425442E1,1.619925550E1,5.806879699E-2,NaN,2.086686093E1,2.554396525E1
6.987743974E0,6.505925642E1,2.547419440E1,1.849333475E1,2.022621483E-1,NaN,1.630361704E1,2.345639609E1
7.987736583E0,6.505922996E1,2.547416281E1,1.829364415E1,2.022621483E-1,2.462516715E2,1.347412240E1,2.087461064E1
8.987728238E0,6.505921823E1,2.547416428E1,1.842544639E1,6.045363545E-1,2.625289607E2,1.183915346E1,1.974538795E1
9.987775445E0,6.505920521E1,2.547416656E1,1.938344129E1,6.045363545E-1,2.506144545E2,1.780251771E1,3.176689024E1
1.093763864E1,6.505918480E1,2.547417156E1,2.038528805E1,5.899089575E-1,2.197073743E2,2.904992338E1,5.401590688E1
1.188766432E1,6.505917607E1,2.547417234E1,2.041307189E1,5.762839317E-1,2.250546914E2,1.957916313E1,3.788230152E1
1.285971487E1,6.505917216E1,2.547418876E1,2.019405324E1,5.762839317E-1,2.186679948E2,8.410140362E0,1.708695692E1
1.385975313E1,6.505916462E1,2.547419254E1,1.990317805E1,6.483072639E-1,1.959796489E2,8.035030406E0,1.708670333E1
1.485978723E1,6.505915563E1,2.547420188E1,1.962274600E1,6.999164820E-1,2.015046123E2,1.195599786E1,2.645275765E1
1.585983944E1,6.505914716E1,2.547420258E1,1.971579994E1,6.483072639E-1,2.097962754E2,1.389984323E1,3.057762488E1
1.685988605E1,6.505914212E1,2.547419573E1,1.958751368E1,6.483072639E-1,2.097962692E2,1.389984323E1,3.057762488E1
1.785991478E1,6.505914054E1,2.547422650E1,1.914198575E1,5.327294469E-1,1.981667709E2,9.642839504E0,2.287782816E1
1.885995173E1,6.505912405E1,2.547423367E1,1.935511519E1,6.691331863E-1,1.891316450E2,7.166025386E0,1.608568094E1
1.985999250E1,6.505911110E1,2.547423547E1,1.914286561E1,7.204399109E-1,1.982700577E2,1.130790636E1,2.454915694E1
2.086001754E1,6.505908793E1,2.547424956E1,1.978207210E1,7.204399109E-1,1.815014649E2,1.261027381E1,2.727767717E1
2.186004972E1,6.505906541E1,2.547424958E1,2.014933181E1,1.231591225E0,1.736260875E2,1.047817678E1,2.319752695E1
2.286007977E1,6.505904475E1,2.547424323E1,2.030533840E1,1.321805954E0,1.781353783E2,1.065675870E1,2.356848468E1
2.386010051E1,6.505903415E1,2.547423201E1,1.983882558E1,1.376789570E0,1.780520607E2,1.277350681E1,2.813181460E1
2.486011755E1,6.505902107E1,2.547422093E1,1.949122525E1,1.321805954E0,1.776730537E2,1.150713667E1,2.546929405E1
2.586013293E1,6.505901028E1,2.547420865E1,1.939830564E1,1.267403483E0,1.864802849E2,1.057209183E1,2.365915897E1
2.686014807E1,6.505900120E1,2.547420152E1,1.949521493E1,1.289731503E0,1.862782427E2,9.616680947E0,2.126569554E1
2.786015964E1,6.505898983E1,2.547420746E1,1.960462426E1,1.289731503E0,1.863062150E2,1.156010782E1,2.545999317E1
2.886017084E1,6.505898213E1,2.547421417E1,1.970573283E1,1.078294992E0,1.923671992E2,1.420195961E1,3.118540943E1
2.986018169E1,6.505897266E1,2.547421232E1,1.968247119E1,9.969474673E-1,1.904663572E2,1.140446082E1,2.482018503E1
3.086019027E1,6.505895686E1,2.547422729E1,1.938380058E1,1.292172670E0,1.717982958E2,1.142231094E1,2.449593863E1
3.186019945E1,6.505893993E1,2.547424424E1,1.924805421E1,1.337249160E0,1.768653535E2,1.915296369E1,4.110192056E1
3.286020529E1,6.505892669E1,2.547424872E1,1.925637256E1,1.292172670E0,1.837215833E2,1.618022013E1,3.519431834E1
3.386021161E1,6.505891776E1,2.547424969E1,1.911240629E1,1.117615342E0,2.032918213E2,5.629709977E0,1.209426148E1
3.486021745E1,6.505890693E1,2.547426823E1,1.916308072E1,1.109155416E0,1.881977199E2,5.636998245E0,1.228631833E1
3.586022151E1,6.505889803E1,2.547428208E1,1.950190298E1,1.109155416E0,1.797949909E2,5.417524836E0,1.175314612E1
3.686022544E1,6.505893427E1,2.547430888E1,2.336612098E1,8.850891188E-1,1.665346073E2,4.639181053E0,3.839918239E0
3.786024332E1,6.505892408E1,2.547430571E1,2.357863238E1,1.031812934E0,1.747421564E2,4.644188297E0,3.754798744E0
3.886023128E1,6.505891759E1,2.547431406E1,2.401376852E1,8.883543401E-1,1.640125144E2,4.653880744E0,3.672477518E0
3.986023223E1,6.505890577E1,2.547431580E1,2.403477768E1,1.005334965E0,1.747506973E2,4.667141521E0,3.609532855E0
4.086023402E1,6.505889978E1,2.547431786E1,2.417652612E1,8.492141313E-1,1.794828280E2,4.684631548E0,3.575922054E0
4.186023498E1,6.505888866E1,2.547432089E1,2.422475833E1,9.123395361E-1,1.825175209E2,4.687730594E0,3.523109772E0
4.286023629E1,6.505887654E1,2.547433546E1,2.423362680E1,9.345828202E-1,1.647395495E2,4.685105920E0,3.484696114E0
4.386023569E1,6.505885880E1,2.547433256E1,2.380894662E1,1.023345516E0,1.808931630E2,4.679246977E0,3.453865192E0
4.486023486E1,6.505884690E1,2.547429867E1,2.360725811E1,8.309806445E-1,2.319039054E2,4.669877627E0,3.466522751E0
4.586023355E1,6.505882105E1,2.547429483E1,2.334096479E1,1.347716964E0,1.868810810E2,4.659071516E0,3.481032841E0
4.686023211E1,6.505879903E1,2.547428906E1,2.293626030E1,1.139199005E0,1.788056259E2,4.638905789E0,3.507861188E0
4.786023057E1,6.505877833E1,2.547427204E1,2.241943239E1,1.271803165E0,1.824311289E2,4.639202953E0,3.507468174E0
4.886023080E1,6.505877161E1,2.547425058E1,2.192506261E1,1.336318339E0,1.867927974E2,4.651958711E0,3.490532508E0
4.986022663E1,6.505875700E1,2.547424495E1,2.166689066E1,1.170847870E0,1.890600090E2,4.656847138E0,3.484008003E0
5.086022329E1,6.505874183E1,2.547424637E1,2.181820993E1,1.186821495E0,1.853908453E2,4.646086007E0,3.498345587E0
5.186022055E1,6.505872293E1,2.547424248E1,2.197268222E1,1.300631743E0,1.875148555E2,4.660830847E0,3.478676882E0
5.286021757E1,6.505870725E1,2.547424044E1,2.205716775E1,1.227648630E0,1.831539503E2,4.639828720E0,3.506640342E0
5.386021328E1,6.505869187E1,2.547423154E1,2.227902194E1,1.288028424E0,1.843088877E2,4.634744332E0,3.513357655E0
5.486021030E1,6.505867756E1,2.547423036E1,2.214210901E1,1.245574064E0,1.820056356E2,4.633864520E0,3.514517982E0
5.586020577E1,6.505866379E1,2.547422179E1,2.189462894E1,1.237399973E0,1.848728999E2,4.636024624E0,3.511668082E0
5.686020243E1,6.505865094E1,2.547420899E1,2.187224346E1,1.073460908E0,1.894999521E2,4.633323531E0,3.515231157E0
5.786019742E1,6.505863691E1,2.547420279E1,2.209332924E1,1.028409517E0,1.903180206E2,4.636267671E0,3.511347194E0
5.886021626E1,6.505862229E1,2.547420097E1,2.210970040E1,1.039862233E0,1.874382896E2,4.633283010E0,3.515284566E0
5.986018872E1,6.505860673E1,2.547419025E1,2.249889451E1,1.036932295E0,1.908322480E2,4.639372814E0,3.507243494E0
6.086018336E1,6.505858916E1,2.547418133E1,2.288405047E1,1.076387689E0,1.915983102E2,4.636687024E0,3.510793426E0
6.186017847E1,6.505857162E1,2.547416897E1,2.322973321E1,1.136272751E0,1.940279067E2,4.637569298E0,3.509627906E0
6.286017311E1,6.505855478E1,2.547415530E1,2.368907215E1,1.188485878E0,1.949276456E2,4.639728596E0,3.506772817E0
6.386016905E1,6.505854076E1,2.547414540E1,2.418853625E1,1.202337107E0,1.962917645E2,4.645624098E0,3.498958956E0
6.486016333E1,6.505852641E1,2.547413844E1,2.413098193E1,1.206687871E0,1.942027060E2,4.650823474E0,3.492044967E0
6.586015773E1,6.505851132E1,2.547414157E1,2.450282858E1,1.073627810E0,1.880332962E2,4.652520675E0,3.489783432E0
6.686015189E1,6.505849331E1,2.547413931E1,2.493401346E1,1.118717659E0,1.879796957E2,4.658707190E0,3.481520407E0
6.786014616E1,6.505848175E1,2.547414059E1,2.488984173E1,9.517263550E-1,1.895991961E2,4.657266513E0,3.483447381E0
6.886014044E1,6.505846676E1,2.547413890E1,2.491520162E1,1.026070612E0,1.900556495E2,4.642904273E0,3.502567194E0
6.986013484E1,6.505845317E1,2.547413611E1,2.475861603E1,1.221977212E0,1.894964859E2,4.645467082E0,3.499167418E0
7.086012805E1,6.505844206E1,2.547413289E1,2.456251672E1,1.217736693E0,1.899304337E2,4.646628530E0,3.497624956E0
7.186012304E1,6.505843344E1,2.547412643E1,2.417027032E1,1.218394300E0,1.910781019E2,4.654714589E0,3.486856626E0
7.286011636E1,6.505842848E1,2.547412056E1,2.387647406E1,1.015783778E0,1.929087739E2,4.659818723E0,3.480032543E0
7.386011028E1,6.505841899E1,2.547411160E1,2.395172653E1,1.057668212E0,1.909848881E2,4.663023717E0,3.475736878E0
7.486010492E1,6.505840925E1,2.547409808E1,2.342126946E1,1.053645316E0,1.933856467E2,4.666122730E0,3.471575392E0
7.586009741E1,6.505839883E1,2.547409147E1,2.307562648E1,9.837840815E-1,1.929055195E2,4.670528037E0,3.465646388E0
7.686009204E1,6.505838793E1,2.547408562E1,2.308503083E1,9.406871418E-1,1.923654258E2,4.672824889E0,3.462548857E0
7.786008430E1,6.505837926E1,2.547408582E1,2.343753268E1,6.010666348E-1,1.917147135E2,4.673967798E0,3.461005931E0
7.886007833E1,6.505837447E1,2.547407924E1,2.314582227E1,5.089380573E-1,1.983461416E2,4.673473945E0,3.461672763E0
7.986007154E1,6.505835558E1,2.547407362E1,2.330886697E1,8.701947523E-1,1.952575209E2,4.667601474E0,3.469586937E0
8.086006558E1,6.505833994E1,2.547407347E1,2.319504710E1,1.124329613E0,1.921921387E2,4.671404740E0,3.464464575E0
8.186005986E1,6.505832732E1,2.547408920E1,2.311328798E1,9.441370597E-1,1.823860424E2,4.668018185E0,3.469026269E0
